ccaa,provincia,municipio,id,codigo_ine,titularidad,fin,uso,descripcion,direccion,latitud,longitud,coor_google,foto_1,foto_2,foto_3,participante,revision
Andalucía,Cádiz,San Roque,NA,,Privada,Complejo hotelero,Sí,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Autovia A-7 Km. 116,000",-5.410139,36.207222,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Benita,NA
Andalucía,Cádiz,Conil De La Frontera,NA,,Privada,Complejo hotelero,Sí,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autovia A48 Km. 24,400",-6.057056,36.309917,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Benita,NA
Islas Baleares,Baleares,Palma,NA,,Privada,Complejo hotelero,Sí,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Ae Vial Salida Aeropuerto, S.n.",2.722944,39.545917,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Benita,NA
Islas Baleares,Baleares,Ciutadella De Menorca,NA,,Privada,Complejo hotelero,Sí,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autovia Ctra. Mahon - Ciudadela Km. 43,9",3.850583,40.004639,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Benita,NA
Islas Baleares,Baleares,Santanyí,NA,,Privada,Complejo hotelero,Sí,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Avenida Bienvenidos, 36",3.226833,39.379917,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Benita,NA
Islas Baleares,Baleares,Maó-Mahón,NA,,Privada,Complejo hotelero,Sí,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Avenida Cap De Cavalleria, 14",4.249,39.888806,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Benita,NA
País Vasco,Bizkaia,Abanto Y Ciérvana-Abanto Zierbena,NA,,Privada,Complejo hotelero,Sí,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","At A-8, 131",-3.067722,43.327111,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Benita,NA
País Vasco,Bizkaia,Arrigorriaga,NA,,Privada,Complejo hotelero,Sí,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Au Ap-68, 6",-2.897389,43.190194,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Benita,NA
País Vasco,Bizkaia,Ugao-Miraballes,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Autopista Ap-68 Km. 6,-2.894444,43.18975,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Benita,NA
País Vasco,Bizkaia,Bilbao,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Avenida Alto De Enekuri, 5",-2.958444,43.286667,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Benita,NA
Islas Canarias,Las Palmas,Arrecife,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Acceso Aeropuerto De Lanzarote-Lado Aire, Sn",-13.603778,28.955417,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Benita,NA
Islas Canarias,Las Palmas,Telde,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",Autopista Autopoista Gc-1 Km. 8,-15.388611,28.014444,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Benita,NA
Islas Canarias,Las Palmas,Arucas,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Autovia Autovia Arucas S/N Km. 3,5",-15.517639,28.117472,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Benita,NA
Islas Canarias,Las Palmas,San Bartolomé De Tirajana,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autovia Gc-1 Km. 34,6",-15.482278,27.803972,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Benita,NA
Galicia,A Coruña,Cariño,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",A Pedra,-7.878278,43.731806,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Benita,NA
Galicia,A Coruña,Oza-Cesuras,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Ac 840 Km 6,89",-8.1905,43.225889,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
Galicia,A Coruña,Moeche,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Ac-862 Km 24,-8.021861,43.565417,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecio,NA
Islas Canarias,Santa Cruz De Tenerife,Arafo,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Acceso Carretera A La Hidalga, S/N",-16.384833,28.330194,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
Islas Canarias,Santa Cruz De Tenerife,San Miguel De Abona,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Autopista Autopista Del Sur Km. 64,9",-16.636556,28.052333,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecio,NA
Asturias,Asturias,Ibias,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Aldea Av Aurelio Menendez, Sn",-6.871306,43.038139,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
Asturias,Asturias,Aller,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","As-112 Km 5,8",-5.674861,43.16475,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecio,NA
Asturias,Asturias,Teverga,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",As-228 Km 28,-6.096833,43.164806,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
Aragón,Zaragoza,La Muela,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","A Ii, Km Km 299,3",-1.099611,41.58575,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecio,NA
Aragón,Zaragoza,Alberite De San Juan,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",A-121 Km 2,-1.470056,41.815722,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
Aragón,Zaragoza,Sobradiel,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Au A-68, 283",-1.031417,41.730583,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecio,NA
Galicia,Pontevedra,Salvaterra De Miño,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","A-52 Salida 291, Ctra Ponteareas- As Neves, Km Po-9006",-8.462,42.141917,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
Galicia,Pontevedra,Silleda,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Ap-53 Km 28,000",-8.300833,42.716389,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecio,NA
Galicia,Pontevedra,Vilaboa,NA,,Privada,Museo,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Au A-9  Pontevedra Sur-Vigo, 13",-8.662806,42.3185,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Lucrecio,NA
Andalucía,Granada,Baza,NA,,Privada,Museo,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",A-334 Km 4.5,-2.766909,37.481666,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Lucrecio,NA
